Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180716_A1_1,20180716,1,A1,-2.365964377,0.6,min10-25,H0_T_A1,H0_T,2_1,Low,10,5.11,0.789080618
20180716_A2_1,20180716,1,A2,-2.808780829,0.6,min10-25,H0_T_A2,H0_T,2_1,Low,10,4.8881,0.48520155
20180716_A3_1,20180716,1,A3,-1.539174446,0.6,min10-25,H0_T_A3,H0_T,2_1,Low,10,5.0461,0.646158985
20180716_A4_1,20180716,1,A4,-3.909031006,0.6,min10-25,H1_T_A4,H1_T,2_1,Ambient,10,5.4484,0.513445918
20180716_A5_1,20180716,1,A5,-2.98197736,0.6,min10-25,H1_T_A5,H1_T,2_1,Ambient,10,4.6701,0.484538601
20180716_A6_1,20180716,1,A6,-4.07962732,0.6,min10-25,H1_T_A6,H1_T,2_1,Ambient,10,4.7848,0.41064659
20180716_B1_1,20180716,1,B1,-2.335868622,0.6,min10-25,H0_B_B1,H0_B,2_1,Low,10,4.854,0.786722314
20180716_B2_1,20180716,1,B2,-2.184742741,0.6,min10-25,H0_B_B2,H0_B,2_1,Low,10,4.6552,0.612257716
20180716_B3_1,20180716,1,B3,-1.717474835,0.6,min10-25,H0_B_B3,H0_B,2_1,Low,10,4.8361,0.731635831
20180716_B4_1,20180716,1,B4,-3.192582996,0.6,min10-25,H1_B_B4,H1_B,2_1,Ambient,10,5.2358,0.62373406
20180716_B5_1,20180716,1,B5,-2.074016384,0.6,min10-25,H1_B_B5,H1_B,2_1,Ambient,10,4.8474,0.626882622
20180716_B6_1,20180716,1,B6,-2.788863984,0.6,min10-25,H1_B_B6,H1_B,2_1,Ambient,10,4.8124,0.642795319
20180716_C1_1,20180716,1,C1,-1.269923546,0.6,min10-25,H0_T_blank_C1,H0_T_blank,2_1,Low,10,NA,NA
20180716_C2_1,20180716,1,C2,-1.07364901,0.6,min10-25,H0_T_blank_C2,H0_T_blank,2_1,Low,10,NA,NA
20180716_C3_1,20180716,1,C3,-0.573217631,0.6,min10-25,H0_T_blank_C3,H0_T_blank,2_1,Low,10,NA,NA
20180716_C4_1,20180716,1,C4,-0.793415398,0.6,min10-25,H1_T_blank_C4,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C5_1,20180716,1,C5,-1.131949274,0.6,min10-25,H1_T_blank_C5,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C6_1,20180716,1,C6,-1.56167932,0.6,min10-25,H1_T_blank_C6,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_D1_1,20180716,1,D1,-1.217195953,0.6,min10-25,H0_B_blank_D1,H0_B_blank,2_1,Low,10,NA,NA
20180716_D2_1,20180716,1,D2,-1.228820775,0.6,min10-25,H0_B_blank_D2,H0_B_blank,2_1,Low,10,NA,NA
20180716_D3_1,20180716,1,D3,-1.208827885,0.6,min10-25,H0_B_blank_D3,H0_B_blank,2_1,Low,10,NA,NA
20180716_D4_1,20180716,1,D4,-1.013076899,0.6,min10-25,H1_B_blank_D4,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_D5_1,20180716,1,D5,-1.552872096,0.6,min10-25,H1_B_blank_D5,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_D6_1,20180716,1,D6,-1.478644151,0.6,min10-25,H1_B_blank_D6,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_A1_2,20180716,2,A1,-2.474938493,0.6,min10-25,H2_T_A1,H2_T,2_1,Ambient,10,5.3568,0.578412348
20180716_A2_2,20180716,2,A2,-2.785082978,0.6,min10-25,H2_T_A2,H2_T,2_1,Ambient,10,5.0663,0.632012843
20180716_A3_2,20180716,2,A3,-1.763226935,0.6,min10-25,H2_T_A3,H2_T,2_1,Ambient,10,5.0571,0.632988406
20180716_A4_2,20180716,2,A4,-3.161544536,0.6,min10-25,H3_T_A4,H3_T,2_1,Low,10,5.141,1.102219276
20180716_A5_2,20180716,2,A5,-3.843779906,0.6,min10-25,H3_T_A5,H3_T,2_1,Low,10,5.1263,0.599313135
20180716_A6_2,20180716,2,A6,-2.99583397,0.6,min10-25,H3_T_A6,H3_T,2_1,Low,10,5.555,0.805278282
20180716_B1_2,20180716,2,B1,-3.678523226,0.6,min10-25,H2_B_B1,H2_B,2_1,Ambient,10,5.2332,0.633533617
20180716_B2_2,20180716,2,B2,-3.35367997,0.6,min10-25,H2_B_B2,H2_B,2_1,Ambient,10,5.1857,0.707673347
