Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180716_A1_1,20180716,1,A1,-2.883977591,0.4,min10-25,H0_T_A1,H0_T,2_1,Low,10,5.11,0.789080618
20180716_A2_1,20180716,1,A2,-2.808780829,0.4,min10-25,H0_T_A2,H0_T,2_1,Low,10,4.8881,0.48520155
20180716_A3_1,20180716,1,A3,-2.267918155,0.4,min10-25,H0_T_A3,H0_T,2_1,Low,10,5.0461,0.646158985
20180716_A4_1,20180716,1,A4,-3.46476365,0.4,min10-25,H1_T_A4,H1_T,2_1,Ambient,10,5.4484,0.513445918
20180716_A5_1,20180716,1,A5,-4.09891018,0.4,min10-25,H1_T_A5,H1_T,2_1,Ambient,10,4.6701,0.484538601
20180716_A6_1,20180716,1,A6,-4.07962732,0.4,min10-25,H1_T_A6,H1_T,2_1,Ambient,10,4.7848,0.41064659
20180716_B1_1,20180716,1,B1,-2.236483462,0.4,min10-25,H0_B_B1,H0_B,2_1,Low,10,4.854,0.786722314
20180716_B2_1,20180716,1,B2,-2.574519109,0.4,min10-25,H0_B_B2,H0_B,2_1,Low,10,4.6552,0.612257716
20180716_B3_1,20180716,1,B3,-3.251354839,0.4,min10-25,H0_B_B3,H0_B,2_1,Low,10,4.8361,0.731635831
20180716_B4_1,20180716,1,B4,-2.988112903,0.4,min10-25,H1_B_B4,H1_B,2_1,Ambient,10,5.2358,0.62373406
20180716_B5_1,20180716,1,B5,-1.976381298,0.4,min10-25,H1_B_B5,H1_B,2_1,Ambient,10,4.8474,0.626882622
20180716_B6_1,20180716,1,B6,-2.243522372,0.4,min10-25,H1_B_B6,H1_B,2_1,Ambient,10,4.8124,0.642795319
20180716_C1_1,20180716,1,C1,-1.269923546,0.4,min10-25,H0_T_blank_C1,H0_T_blank,2_1,Low,10,NA,NA
20180716_C2_1,20180716,1,C2,-1.033865194,0.4,min10-25,H0_T_blank_C2,H0_T_blank,2_1,Low,10,NA,NA
20180716_C3_1,20180716,1,C3,-0.573132561,0.4,min10-25,H0_T_blank_C3,H0_T_blank,2_1,Low,10,NA,NA
20180716_C4_1,20180716,1,C4,-0.774800579,0.4,min10-25,H1_T_blank_C4,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C5_1,20180716,1,C5,-0.933355742,0.4,min10-25,H1_T_blank_C5,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C6_1,20180716,1,C6,-1.73759168,0.4,min10-25,H1_T_blank_C6,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_D1_1,20180716,1,D1,-1.217195953,0.4,min10-25,H0_B_blank_D1,H0_B_blank,2_1,Low,10,NA,NA
20180716_D2_1,20180716,1,D2,-1.228820775,0.4,min10-25,H0_B_blank_D2,H0_B_blank,2_1,Low,10,NA,NA
20180716_D3_1,20180716,1,D3,-1.117039851,0.4,min10-25,H0_B_blank_D3,H0_B_blank,2_1,Low,10,NA,NA
20180716_D4_1,20180716,1,D4,-1.013076899,0.4,min10-25,H1_B_blank_D4,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_D5_1,20180716,1,D5,-1.552872096,0.4,min10-25,H1_B_blank_D5,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_D6_1,20180716,1,D6,-1.478644151,0.4,min10-25,H1_B_blank_D6,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_A1_2,20180716,2,A1,-2.432561947,0.4,min10-25,H2_T_A1,H2_T,2_1,Ambient,10,5.3568,0.578412348
